time_s,x,y,z
20251019_180805.533276,0.9881765842437744,0.0705319419503212,0.9949560165405273
20251019_180805.533896,0.9881302714347839,0.07064724713563919,0.9947955012321472
20251019_180805.535167,0.9882091283798218,0.07074752449989319,0.9948875308036804
20251019_180805.536259,0.9881849884986877,0.07063863426446915,0.9949113130569458
20251019_180805.537521,0.9882768988609314,0.07079972326755524,0.9948181509971619
20251019_180805.539621,0.9881551861763,0.0706101655960083,0.9947506189346313
20251019_180805.540376,0.9881953001022339,0.07054165005683899,0.9949555993080139
20251019_180805.541186,0.9881269931793213,0.07030721753835678,0.9949040412902832
20251019_180805.541971,0.9881835579872131,0.07059159129858017,0.9949802756309509
20251019_180805.543218,0.9881607294082642,0.0706411749124527,0.9947739243507385
20251019_180805.545682,0.9882426857948303,0.07070058584213257,0.9948381185531616
20251019_180805.549810,0.9881777763366699,0.07056285440921783,0.9948892593383789
20251019_180805.560311,0.9882012009620667,0.07058451324701309,0.9949029684066772
20251019_180805.570266,0.9880808591842651,0.07065609097480774,0.9947700500488281
20251019_180805.580343,0.9881680011749268,0.07064174115657806,0.99481600522995
20251019_180805.590439,0.9881542325019836,0.07061811536550522,0.9949630498886108
20251019_180805.600511,0.9881883859634399,0.0706118494272232,0.9949311017990112
20251019_180805.610300,0.9881865978240967,0.07059367746114731,0.9948814511299133
20251019_180805.619945,0.9881415367126465,0.07062385976314545,0.9948776960372925
20251019_180805.630706,0.9881436824798584,0.07058960199356079,0.9948790669441223
20251019_180805.640640,0.9881435632705688,0.07058185338973999,0.9947636723518372
20251019_180805.650684,0.9881709814071655,0.07062637805938721,0.9948996901512146
20251019_180805.660718,0.9881504774093628,0.07065927982330322,0.994792103767395
20251019_180805.670644,0.9881172180175781,0.07067392766475677,0.9948284029960632
20251019_180805.680645,0.9881597757339478,0.07070889323949814,0.9949211478233337
20251019_180805.690729,0.9882048964500427,0.07096509635448456,0.9948064684867859
20251019_180805.701016,0.9880980849266052,0.07081781327724457,0.9948196411132812
20251019_180805.710594,0.9880385994911194,0.07080157101154327,0.9948211312294006
20251019_180805.720647,0.9878469705581665,0.07055941224098206,0.9946521520614624
20251019_180805.730578,0.9878049492835999,0.07099325954914093,0.9945098757743835
20251019_180805.740713,0.9879194498062134,0.07197143137454987,0.9944337010383606
20251019_180805.750675,0.9878720045089722,0.07248102128505707,0.994256854057312
20251019_180805.760694,0.9878544807434082,0.07314669340848923,0.9941155910491943
20251019_180805.770217,0.9878518581390381,0.07371856272220612,0.9939853549003601
20251019_180805.780903,0.9878014326095581,0.07444402575492859,0.9938402771949768
20251019_180805.790004,0.9878166317939758,0.07567306607961655,0.9935986399650574
20251019_180805.800714,0.9877246618270874,0.07684510946273804,0.9934142231941223
20251019_180805.810641,0.987563967704773,0.07807795703411102,0.9930864572525024
20251019_180805.820206,0.9875233173370361,0.07992371171712875,0.9928891062736511
20251019_180805.830526,0.9873684644699097,0.08200699090957642,0.9926040172576904
20251019_180805.840480,0.9872502088546753,0.0842127874493599,0.9921431541442871
20251019_180805.850603,0.9870650172233582,0.08661913871765137,0.9918630719184875
20251019_180805.860695,0.9870081543922424,0.08889368176460266,0.9915809035301208
20251019_180805.870733,0.9868079423904419,0.09168779104948044,0.991229772567749
20251019_180805.880776,0.9868202209472656,0.09496529400348663,0.9908258318901062
20251019_180805.890606,0.9868274331092834,0.0982988029718399,0.9903762936592102
20251019_180805.900788,0.986169695854187,0.1021154448390007,0.9900341033935547
20251019_180805.910536,0.9859738349914551,0.10571601986885071,0.9895918965339661
20251019_180805.920110,0.9858734607696533,0.10912769287824631,0.9891164898872375
20251019_180805.930451,0.9853994846343994,0.11344706267118454,0.9886984825134277
20251019_180805.940770,0.9853217005729675,0.1177067831158638,0.9881350994110107
20251019_180805.950726,0.9850022792816162,0.12261199951171875,0.9876807928085327
20251019_180805.960883,0.9846675992012024,0.1270061880350113,0.9871689677238464
20251019_180805.970133,0.9842042326927185,0.13167916238307953,0.9867615699768066
20251019_180805.980570,0.9840347766876221,0.1358129382133484,0.986619234085083
20251019_180805.990797,0.9834590554237366,0.14117586612701416,0.9859035015106201
20251019_180806.000578,0.9833173751831055,0.14594244956970215,0.9853810667991638
20251019_180806.010606,0.9828404784202576,0.15143340826034546,0.9848811626434326
20251019_180806.019972,0.9823145866394043,0.1567191779613495,0.9843895435333252
20251019_180806.030662,0.9818212389945984,0.16238528490066528,0.9837466478347778
20251019_180806.041715,0.9815131425857544,0.16746455430984497,0.9833703637123108
20251019_180806.050746,0.9809762239456177,0.17298072576522827,0.9830312132835388
20251019_180806.060870,0.9801912307739258,0.17910322546958923,0.9823932647705078
20251019_180806.070874,0.9798544049263,0.18459562957286835,0.9819269180297852
20251019_180806.081053,0.979365348815918,0.19069349765777588,0.9812365770339966
20251019_180806.090715,0.9788742065429688,0.19641390442848206,0.9806984066963196
20251019_180806.100761,0.9785270094871521,0.20174135267734528,0.9803189039230347
20251019_180806.110974,0.9779737591743469,0.2078322172164917,0.9797832369804382
20251019_180806.120901,0.9774154424667358,0.21353238821029663,0.9793280363082886
20251019_180806.130712,0.9769250750541687,0.21982558071613312,0.9787374138832092
20251019_180806.140528,0.9763541221618652,0.2258322536945343,0.9780431389808655
20251019_180806.150771,0.9760122895240784,0.23170112073421478,0.9776219725608826
20251019_180806.160548,0.975335419178009,0.23758834600448608,0.9773219227790833
20251019_180806.170190,0.9748157262802124,0.2442767173051834,0.9761891961097717
20251019_180806.180550,0.9744652509689331,0.25018787384033203,0.9758802056312561
20251019_180806.190848,0.9741232395172119,0.25579896569252014,0.9756261706352234
20251019_180806.200817,0.9732264280319214,0.26241764426231384,0.9749689698219299
20251019_180806.210759,0.9731521606445312,0.2674843668937683,0.9748446941375732
20251019_180806.220662,0.9726417064666748,0.2742235064506531,0.9739465713500977
20251019_180806.230580,0.9718865752220154,0.2805717885494232,0.9731829166412354
20251019_180806.240683,0.9718413352966309,0.28607672452926636,0.9729548692703247
20251019_180806.250599,0.9711641669273376,0.2922568619251251,0.9722732305526733
20251019_180806.260448,0.9703499674797058,0.2986946403980255,0.9717318415641785
20251019_180806.270348,0.9700514078140259,0.30449455976486206,0.9713245630264282
20251019_180806.280488,0.969525158405304,0.31026116013526917,0.970795750617981
20251019_180806.290944,0.9689680337905884,0.31685155630111694,0.9699394702911377
20251019_180806.300520,0.9685229659080505,0.32314053177833557,0.9692527651786804
20251019_180806.310889,0.9681314826011658,0.3284764885902405,0.9690756797790527
20251019_180806.320536,0.9677278995513916,0.3351478576660156,0.9682431221008301
