time_s,x,y,z
20251024_144707.448360,1.0073295831680298,0.06576011329889297,0.9859563112258911
20251024_144707.457893,1.007312297821045,0.06569018214941025,0.9859285354614258
20251024_144707.467967,1.0072382688522339,0.06552901864051819,0.9859445095062256
20251024_144707.478096,1.0072582960128784,0.0655631348490715,0.9859055876731873
20251024_144707.488266,1.0072734355926514,0.06559687852859497,0.985912024974823
20251024_144707.498405,1.0072906017303467,0.06567121297121048,0.9859020113945007
20251024_144707.508620,1.007286548614502,0.06574752926826477,0.9859349131584167
20251024_144707.518708,1.0072873830795288,0.06571633368730545,0.9858888387680054
20251024_144707.528534,1.0071218013763428,0.06554702669382095,0.9858312606811523
20251024_144707.538598,1.0072057247161865,0.06544625759124756,0.985964834690094
20251024_144707.548600,1.0072373151779175,0.06562864780426025,0.9859491586685181
20251024_144707.558646,1.0072821378707886,0.06572022289037704,0.9859163165092468
20251024_144707.568729,1.0072932243347168,0.06573884189128876,0.9859520792961121
20251024_144707.578754,1.0072102546691895,0.06570089608430862,0.985991358757019
20251024_144707.588934,1.0071077346801758,0.06555039435625076,0.9860206246376038
20251024_144707.598651,1.006731390953064,0.0652598887681961,0.9859782457351685
20251024_144707.608611,1.00661301612854,0.06526736915111542,0.9860705733299255
20251024_144707.618938,1.0067460536956787,0.06579703092575073,0.9861459732055664
20251024_144707.628961,1.0065021514892578,0.06551635265350342,0.9863061308860779
20251024_144707.637936,1.006365180015564,0.06540554761886597,0.9864081144332886
20251024_144707.648583,1.006121277809143,0.06511234492063522,0.9865686893463135
20251024_144707.658703,1.0059045553207397,0.06520556658506393,0.9866495132446289
20251024_144707.672826,1.0057231187820435,0.06553269177675247,0.9867860674858093
20251024_144707.678264,1.0054559707641602,0.0659652128815651,0.9866931438446045
20251024_144707.688553,1.0052388906478882,0.06653621792793274,0.9867458343505859
20251024_144707.698172,1.0049031972885132,0.06692080944776535,0.9867116808891296
20251024_144707.708148,1.0044207572937012,0.06783667206764221,0.9868360161781311
20251024_144707.717837,1.004141092300415,0.06919686496257782,0.9868854284286499
20251024_144707.728517,1.0038509368896484,0.07041926681995392,0.9870274662971497
20251024_144707.739234,1.0035347938537598,0.07181291282176971,0.9870868921279907
20251024_144707.748331,1.0032802820205688,0.07325568050146103,0.9869471788406372
20251024_144707.758447,1.0028173923492432,0.07507757842540741,0.9871600270271301
20251024_144707.768127,1.0023847818374634,0.07675193250179291,0.987285852432251
20251024_144707.778480,1.0016980171203613,0.07879499346017838,0.9874786734580994
20251024_144707.788254,1.0013022422790527,0.0808832123875618,0.9877296686172485
20251024_144707.798425,1.0009491443634033,0.08387831598520279,0.9877501130104065
20251024_144707.809101,1.0004700422286987,0.08674801141023636,0.9879065752029419
20251024_144707.818001,0.9998858571052551,0.08954927325248718,0.9879888296127319
20251024_144707.828700,0.9991286993026733,0.09222906082868576,0.9883145093917847
20251024_144707.838421,0.9987237453460693,0.09494402259588242,0.9883631467819214
20251024_144707.848808,0.9981483817100525,0.09847301989793777,0.9886475205421448
20251024_144707.858811,0.9979510307312012,0.1020849347114563,0.9889628887176514
20251024_144707.867963,0.9973929524421692,0.10580151528120041,0.9892997145652771
20251024_144707.878559,0.9968240857124329,0.10907058417797089,0.9893296957015991
20251024_144707.888613,0.9955981373786926,0.114589624106884,0.989106297492981
20251024_144707.898616,0.9956325888633728,0.11713620275259018,0.9897636771202087
20251024_144707.908582,0.9947381019592285,0.12218059599399567,0.98979651927948
20251024_144707.918713,0.9939011335372925,0.12615160644054413,0.9898198246955872
20251024_144707.928885,0.9940050840377808,0.12962853908538818,0.9906318783760071
20251024_144707.938471,0.9934022426605225,0.13381743431091309,0.9909424185752869
20251024_144707.948327,0.9924600124359131,0.1384606957435608,0.9909181594848633
20251024_144707.958514,0.9919809103012085,0.1444675326347351,0.9908735156059265
20251024_144707.968326,0.9911409020423889,0.148933544754982,0.9909057021141052
20251024_144707.988300,0.990658164024353,0.1573304533958435,0.9921700954437256
20251024_144707.998271,0.9899731278419495,0.16226424276828766,0.9924155473709106
20251024_144708.008354,0.989420473575592,0.16748294234275818,0.9930104613304138
20251024_144708.018295,0.9890471696853638,0.17242757976055145,0.9929688572883606
20251024_144708.038353,0.9874590039253235,0.1842612773180008,0.9929056167602539
20251024_144708.048348,0.9871535897254944,0.18786777555942535,0.9940242767333984
20251024_144708.068606,0.985880970954895,0.19928665459156036,0.9943337440490723
20251024_144708.078614,0.9850516319274902,0.20660506188869476,0.9941566586494446
20251024_144708.088566,0.9847946166992188,0.21061721444129944,0.9948663115501404
20251024_144708.098619,0.9840719699859619,0.21787744760513306,0.994726836681366
20251024_144708.108440,0.9834170341491699,0.22205613553524017,0.9954577684402466
20251024_144708.118684,0.9824081659317017,0.2292947769165039,0.9949049949645996
20251024_144708.128668,0.9822854995727539,0.2339189350605011,0.9954126477241516
20251024_144708.138613,0.9819045662879944,0.23997990787029266,0.995777428150177
20251024_144708.148319,0.980975866317749,0.2461509108543396,0.9960289001464844
20251024_144708.158625,0.980310320854187,0.2540610432624817,0.9959977269172668
20251024_144708.168146,0.9800345301628113,0.2588200569152832,0.9961543679237366
20251024_144708.178715,0.9793733358383179,0.26499849557876587,0.9964098334312439
20251024_144708.188228,0.978790819644928,0.2713209092617035,0.9970850348472595
20251024_144708.198161,0.978294849395752,0.2777445912361145,0.9969252347946167
20251024_144708.208665,0.9779741764068604,0.2843392789363861,0.9974154233932495
20251024_144708.218021,0.9771231412887573,0.2910565733909607,0.9977005124092102
20251024_144708.228579,0.976446270942688,0.29773038625717163,0.997644305229187
20251024_144708.238434,0.9761759042739868,0.3043478727340698,0.9979744553565979
20251024_144708.247934,0.9752936959266663,0.3112792372703552,0.998090922832489
20251024_144708.258244,0.9749077558517456,0.31815922260284424,0.9986693263053894
20251024_144708.268066,0.9744858741760254,0.3253329396247864,0.9985612034797668
20251024_144708.278618,0.9740002751350403,0.33221396803855896,0.9989432096481323
20251024_144708.288374,0.9731748104095459,0.33952605724334717,0.9990724325180054
20251024_144708.298462,0.9729049205780029,0.3464130759239197,0.9995769262313843
20251024_144708.308558,0.9722290635108948,0.3539223074913025,0.999451220035553
20251024_144708.318678,0.9715594053268433,0.36129647493362427,0.9998711943626404
20251024_144708.328755,0.9710406064987183,0.36871564388275146,1.0002020597457886
20251024_144708.338643,0.9709471464157104,0.37635886669158936,1.0002871751785278
20251024_144708.348324,0.970062255859375,0.3840603530406952,1.0004024505615234
20251024_144708.358958,0.9696070551872253,0.39135557413101196,1.000896692276001
20251024_144708.368331,0.969402551651001,0.3993031680583954,1.001019835472107
