time_s,x,y,z
20251105_161540.787422,0.9952186346054077,0.06648225337266922,0.9790894389152527
20251105_161540.787921,0.9952207803726196,0.06655056029558182,0.9790863990783691
20251105_161540.788620,0.9952214956283569,0.06660094112157822,0.9790874719619751
20251105_161540.789387,0.9952109456062317,0.06655442714691162,0.9790867567062378
20251105_161540.791337,0.9952123165130615,0.06654321402311325,0.979084849357605
20251105_161540.792307,0.9952116012573242,0.06657881289720535,0.9791011214256287
20251105_161540.794025,0.9952067732810974,0.06655137985944748,0.9790987372398376
20251105_161540.795149,0.995206356048584,0.06647997349500656,0.9791078567504883
20251105_161540.796537,0.995211124420166,0.06648896634578705,0.9790856242179871
20251105_161540.797678,0.9952088594436646,0.06655794382095337,0.9790902733802795
20251105_161540.800439,0.9952135682106018,0.06653837114572525,0.9790997505187988
20251105_161540.803907,0.9952273368835449,0.06657732278108597,0.9791017770767212
20251105_161540.814434,0.9952358603477478,0.06657088547945023,0.9791024327278137
20251105_161540.823966,0.9952335357666016,0.06650640815496445,0.9791044592857361
20251105_161540.834344,0.9951643943786621,0.06651820987462997,0.9790894985198975
20251105_161540.835818,0.9952519536018372,0.06653577089309692,0.9791154861450195
20251105_161540.855188,0.9952352046966553,0.0665668472647667,0.9790877103805542
20251105_161540.864665,0.9952488541603088,0.06654255092144012,0.9791123270988464
20251105_161540.874773,0.9952315092086792,0.06655135005712509,0.9791405200958252
20251105_161540.876656,0.9952312707901001,0.06654234975576401,0.9791463613510132
20251105_161540.894609,0.9951883554458618,0.06647113710641861,0.9791322350502014
20251105_161540.896134,0.9951896667480469,0.06650616973638535,0.9792007207870483
20251105_161540.914714,0.9952472448348999,0.06658601760864258,0.979180097579956
20251105_161540.917111,0.9952930808067322,0.06669037789106369,0.9792382121086121
20251105_161540.934764,0.9953563213348389,0.06686161458492279,0.9792909622192383
20251105_161540.944811,0.995337188243866,0.06699725240468979,0.9793444871902466
20251105_161540.946880,0.9953144192695618,0.06733132153749466,0.9794231653213501
20251105_161540.964706,0.9953235983848572,0.06745268404483795,0.9794792532920837
20251105_161540.974604,0.9952787756919861,0.06743519753217697,0.9795262217521667
20251105_161540.984628,0.9953551292419434,0.06796545535326004,0.97955721616745
20251105_161540.994591,0.9953142404556274,0.06825367361307144,0.9795423746109009
20251105_161540.996110,0.9953084588050842,0.06896053999662399,0.9794658422470093
20251105_161541.014630,0.9952171444892883,0.06957735121250153,0.979430079460144
20251105_161541.016404,0.995164155960083,0.07072250545024872,0.9791613221168518
20251105_161541.034962,0.9950234293937683,0.07223089039325714,0.9791238903999329
20251105_161541.045286,0.9947401881217957,0.07327227294445038,0.978938639163971
20251105_161541.054778,0.9949929714202881,0.07506123930215836,0.9791399836540222
20251105_161541.064887,0.9949730038642883,0.07649638503789902,0.9791691899299622
20251105_161541.074715,0.9946939945220947,0.07830929011106491,0.9790025949478149
20251105_161541.076225,0.9946128129959106,0.08076083660125732,0.979188084602356
20251105_161541.094680,0.9944978952407837,0.08300015330314636,0.9791378974914551
20251105_161541.104353,0.9943637847900391,0.08524685353040695,0.9788901209831238
20251105_161541.114878,0.9938468933105469,0.08748161047697067,0.9785395860671997
20251105_161541.124878,0.9938480257987976,0.09077391028404236,0.9787309169769287
20251105_161541.134849,0.9935799837112427,0.09352504462003708,0.9787034392356873
20251105_161541.144913,0.9932848811149597,0.0967675969004631,0.9784705638885498
20251105_161541.154878,0.9928533434867859,0.09977305680513382,0.9782834649085999
20251105_161541.164862,0.992742121219635,0.10296472162008286,0.9783611297607422
20251105_161541.174747,0.99213707447052,0.10628770291805267,0.9780701398849487
20251105_161541.184659,0.9919440150260925,0.11016453057527542,0.977978527545929
20251105_161541.194862,0.9914710521697998,0.11372540891170502,0.9776657223701477
20251105_161541.204400,0.991053581237793,0.1174691691994667,0.9775899052619934
20251105_161541.215080,0.9905695915222168,0.12186814844608307,0.9772321581840515
20251105_161541.223915,0.9899716377258301,0.12579789757728577,0.9769387245178223
20251105_161541.234943,0.9894932508468628,0.1297025978565216,0.9767789244651794
20251105_161541.245011,0.988886833190918,0.13384173810482025,0.976435661315918
20251105_161541.254027,0.9883115291595459,0.13844889402389526,0.9760437607765198
20251105_161541.265092,0.9878250360488892,0.14270631968975067,0.9757906794548035
20251105_161541.274775,0.9875491857528687,0.1468742936849594,0.9758027195930481
20251105_161541.284830,0.9870602488517761,0.1512974202632904,0.9755290746688843
20251105_161541.295328,0.9860824942588806,0.15582643449306488,0.9749676585197449
20251105_161541.304008,0.9855170249938965,0.1607186645269394,0.9746898412704468
20251105_161541.315078,0.9847997426986694,0.1654728651046753,0.974141001701355
20251105_161541.324121,0.984198272228241,0.1700473129749298,0.9736979603767395
20251105_161541.334873,0.9836105108261108,0.1750219762325287,0.9736334085464478
20251105_161541.344611,0.9831396341323853,0.17963914573192596,0.9734889268875122
20251105_161541.354641,0.9825127124786377,0.18413163721561432,0.97295743227005
20251105_161541.364715,0.9819304347038269,0.18954987823963165,0.9728317856788635
20251105_161541.374694,0.9810677766799927,0.19459718465805054,0.9721591472625732
20251105_161541.387822,0.9804277420043945,0.19963356852531433,0.9718103408813477
20251105_161541.394754,0.979762077331543,0.20480982959270477,0.9715977907180786
20251105_161541.404404,0.9792507290840149,0.20947042107582092,0.9712209701538086
20251105_161541.414856,0.9785756468772888,0.21491849422454834,0.9709692597389221
20251105_161541.424654,0.977857768535614,0.22047282755374908,0.9705264568328857
20251105_161541.434604,0.9771284461021423,0.2256598323583603,0.970194399356842
20251105_161541.444236,0.9765316843986511,0.2312115728855133,0.9699214696884155
20251105_161541.454441,0.9756781458854675,0.2365918904542923,0.9692667722702026
20251105_161541.464877,0.9749617576599121,0.241873636841774,0.9689265489578247
20251105_161541.474341,0.974618673324585,0.24761095643043518,0.968795657157898
