time_s,x,y,z
20251022_163752.184305,0.02222209796309471,0.06460465490818024,0.9986428022384644
20251022_163752.184780,0.022022563964128494,0.06419315934181213,0.9989827871322632
20251022_163752.186129,0.021978039294481277,0.06412489712238312,0.9989898800849915
20251022_163752.188088,0.02199837565422058,0.06409793347120285,0.9989917278289795
20251022_163752.189322,0.02208786830306053,0.06441177427768707,0.9989011287689209
20251022_163752.191416,0.02214416116476059,0.06467628479003906,0.9988088011741638
20251022_163752.192314,0.02226921170949936,0.06474605947732925,0.9986026287078857
20251022_163752.193597,0.022056113928556442,0.06430856883525848,0.9989100694656372
20251022_163752.196036,0.0220535509288311,0.061203792691230774,0.9990645051002502
20251022_163752.198252,0.022105500102043152,0.06433261185884476,0.9987307786941528
20251022_163752.199747,0.0220344215631485,0.0642666220664978,0.9989451169967651
20251022_163752.201537,0.02212255261838436,0.06450202316045761,0.9989028573036194
20251022_163752.207801,0.02225956879556179,0.06473732739686966,0.99861741065979
20251022_163752.217790,0.02208130620419979,0.06450703740119934,0.9989029169082642
20251022_163752.228055,0.02216492034494877,0.06434141099452972,0.998661994934082
20251022_163752.240241,0.02202129364013672,0.06411029398441315,0.9989849328994751
20251022_163752.247858,0.022016286849975586,0.06427087634801865,0.9989317655563354
20251022_163752.257886,0.022208450362086296,0.06445716321468353,0.9986615180969238
20251022_163752.267967,0.022150715813040733,0.0645173192024231,0.9988421201705933
20251022_163752.278155,0.02211390994489193,0.06459400057792664,0.9988473057746887
20251022_163752.288038,0.02211446687579155,0.06441567093133926,0.9988664984703064
20251022_163752.297869,0.022042443975806236,0.06429563462734222,0.9989317059516907
20251022_163752.308220,0.02204541116952896,0.06418630480766296,0.9989736676216125
20251022_163752.318071,0.022031093016266823,0.06427575647830963,0.9989524483680725
20251022_163752.328084,0.022046733647584915,0.06435288488864899,0.9989506006240845
20251022_163752.338106,0.02214629575610161,0.06445004791021347,0.998936116695404
20251022_163752.348080,0.022155767306685448,0.06466498970985413,0.9988409280776978
20251022_163752.358136,0.02230149693787098,0.06434334814548492,0.9990445375442505
20251022_163752.368169,0.022288139909505844,0.06431052088737488,0.9991025924682617
20251022_163752.378130,0.02249305695295334,0.06456039100885391,0.9988946318626404
20251022_163752.398176,0.023666230961680412,0.06005772575736046,0.9990770220756531
20251022_163752.418137,0.023606419563293457,0.0669233426451683,0.9992120862007141
20251022_163752.448153,0.025899438187479973,0.06514875590801239,0.9982994794845581
20251022_163752.458143,0.02665698528289795,0.07014317810535431,0.9979338645935059
20251022_163752.468098,0.027510376647114754,0.07136356085538864,0.9974647760391235
20251022_163752.488108,0.02947317063808441,0.07103975862264633,0.9974419474601746
20251022_163752.498206,0.029571320861577988,0.07601787894964218,0.9974376559257507
20251022_163752.508063,0.0309787318110466,0.07730308175086975,0.997328519821167
20251022_163752.528255,0.03429824486374855,0.0814320519566536,0.9955576062202454
20251022_163752.548141,0.036763641983270645,0.08747462928295135,0.9952403903007507
20251022_163752.568713,0.03958596661686897,0.09567052125930786,0.9938420653343201
20251022_163752.587830,0.04432593658566475,0.09594982117414474,0.9921661019325256
20251022_163752.618771,0.05047594755887985,0.10664793103933334,0.989969789981842
20251022_163752.628231,0.05294673144817352,0.11369793117046356,0.9896868467330933
20251022_163752.638278,0.0542977899312973,0.11831845343112946,0.9888197779655457
20251022_163752.658504,0.05996737256646156,0.12503623962402344,0.9870837926864624
20251022_163752.668795,0.061934057623147964,0.13147522509098053,0.9858988523483276
20251022_163752.678102,0.0659707710146904,0.1359872668981552,0.9842716455459595
20251022_163752.707964,0.07526729255914688,0.14368388056755066,0.9823207259178162
20251022_163752.728689,0.08151458948850632,0.15210644900798798,0.979727029800415
20251022_163752.738446,0.08481541275978088,0.15699000656604767,0.978649914264679
20251022_163752.748078,0.08829393237829208,0.164774090051651,0.9773350954055786
20251022_163752.768138,0.09561869502067566,0.16882291436195374,0.9754469990730286
20251022_163752.777843,0.0986405536532402,0.17990370094776154,0.9744702577590942
20251022_163752.808100,0.10993034392595291,0.19494816660881042,0.9710513949394226
20251022_163752.837784,0.12347347289323807,0.21190579235553741,0.9675710201263428
20251022_163752.858208,0.1321077048778534,0.22123326361179352,0.9649454355239868
20251022_163752.868173,0.13541892170906067,0.2293175458908081,0.9642336964607239
20251022_163752.888133,0.1443808674812317,0.24104738235473633,0.9617552161216736
20251022_163752.948099,0.1721433699131012,0.2758900821208954,0.9560214281082153
20251022_163753.007900,0.20253196358680725,0.3115556240081787,0.9483749270439148
20251022_163753.028049,0.21102029085159302,0.3249179422855377,0.9467602372169495
20251022_163753.048251,0.21983538568019867,0.3375137746334076,0.9452741146087646
20251022_163753.057749,0.2251013070344925,0.3428688049316406,0.9439166784286499
20251022_163753.068228,0.22909629344940186,0.34914296865463257,0.9435247778892517
20251022_163753.078199,0.235465869307518,0.35315102338790894,0.9417133927345276
20251022_163753.098548,0.24390095472335815,0.3651700019836426,0.9404314160346985
20251022_163753.128147,0.25452494621276855,0.38516637682914734,0.938561201095581
20251022_163753.138085,0.2592351734638214,0.3915459215641022,0.9353080987930298
20251022_163753.168201,0.2691247761249542,0.409377783536911,0.9348188042640686
20251022_163753.178609,0.275284081697464,0.41534751653671265,0.9349417686462402
20251022_163753.208549,0.2876642048358917,0.43035927414894104,0.93382728099823
20251022_163753.218645,0.29111361503601074,0.437640517950058,0.9335041642189026
20251022_163753.228375,0.29476287961006165,0.4433249235153198,0.9331604242324829
20251022_163753.258148,0.30343499779701233,0.46516865491867065,0.93196702003479
20251022_163753.278689,0.3102406859397888,0.476654052734375,0.9312578439712524
20251022_163753.297929,0.31992191076278687,0.48416081070899963,0.9306272268295288
20251022_163753.308651,0.3229767084121704,0.49241477251052856,0.9287986159324646
20251022_163753.318344,0.32560116052627563,0.4994660019874573,0.9304797649383545
20251022_163753.338478,0.3304480314254761,0.5120786428451538,0.9282270073890686
20251022_163753.348430,0.33569207787513733,0.5187994837760925,0.9286273121833801
20251022_163753.358274,0.3374347686767578,0.5240808129310608,0.927577555179596
20251022_163753.368510,0.3420688211917877,0.5306446552276611,0.9283483028411865
20251022_163753.388716,0.3487950265407562,0.5430422425270081,0.9276787638664246
20251022_163753.398652,0.3535795509815216,0.5444182753562927,0.9271296858787537
20251022_163753.408919,0.356606125831604,0.552767276763916,0.9276835918426514
20251022_163753.418455,0.36036187410354614,0.5587674379348755,0.9262331128120422
20251022_163753.428545,0.36422839760780334,0.5655478835105896,0.9269949793815613
20251022_163753.438530,0.36849671602249146,0.5692427754402161,0.9252529740333557
20251022_163753.448439,0.3710547983646393,0.5795264840126038,0.926206111907959
20251022_163753.458419,0.37370461225509644,0.582702100276947,0.9251601099967957
20251022_163753.468618,0.378305584192276,0.5918404459953308,0.9261163473129272
20251022_163753.488523,0.38655489683151245,0.6022298336029053,0.9255075454711914
20251022_163753.498311,0.3903246223926544,0.6061458587646484,0.925102710723877
20251022_163753.518653,0.39671674370765686,0.6194880604743958,0.9245423674583435
20251022_163753.528386,0.4010128676891327,0.6266449093818665,0.9246079921722412
20251022_163753.538520,0.40504926443099976,0.6327329277992249,0.9233396649360657
20251022_163753.548208,0.40893274545669556,0.6390514969825745,0.9231416583061218
20251022_163753.558556,0.41224759817123413,0.6445200443267822,0.9235864281654358
20251022_163753.569007,0.41655436158180237,0.6547628045082092,0.9224568009376526
20251022_163753.578502,0.4210219979286194,0.6572966575622559,0.922349750995636
20251022_163753.598471,0.42851191759109497,0.668420135974884,0.9227831959724426
20251022_163753.608586,0.4330248534679413,0.6780336499214172,0.9223902225494385
20251022_163753.618457,0.43766912817955017,0.6806817650794983,0.9222785234451294
20251022_163753.627879,0.44147175550460815,0.6898055672645569,0.9219430088996887
20251022_163753.638507,0.44591081142425537,0.6930237412452698,0.9219843149185181
20251022_163753.649311,0.44986051321029663,0.701262354850769,0.922126293182373
20251022_163753.658684,0.4543538987636566,0.7049826979637146,0.9215971231460571
20251022_163753.668435,0.45760390162467957,0.7130621671676636,0.9217267036437988
20251022_163753.678679,0.4629179835319519,0.7167271375656128,0.9211121797561646
20251022_163753.688366,0.4672505855560303,0.7229049801826477,0.9211084246635437
20251022_163753.698567,0.47154346108436584,0.728850245475769,0.9209076166152954
20251022_163753.708432,0.4755907952785492,0.7348652482032776,0.9208426475524902
20251022_163753.718124,0.4800691306591034,0.7404344081878662,0.9207513928413391
20251022_163753.728553,0.4831843972206116,0.74799644947052,0.9206204414367676
20251022_163753.738420,0.4888652563095093,0.7522092461585999,0.9204291105270386
20251022_163753.748380,0.4933719336986542,0.7583251595497131,0.9201154112815857
20251022_163753.757883,0.49670377373695374,0.7653940916061401,0.9203207492828369
20251022_163753.768776,0.5017059445381165,0.7708225250244141,0.9199241995811462
20251022_163753.778775,0.5063233971595764,0.7764951586723328,0.9201059341430664
20251022_163753.788568,0.51094651222229,0.7821922302246094,0.9199453592300415
20251022_163753.798034,0.5155707001686096,0.7881447076797485,0.9200287461280823
20251022_163753.808036,0.5201255083084106,0.7934194803237915,0.9198303818702698
20251022_163753.818299,0.524753212928772,0.7990110516548157,0.9197180867195129
20251022_163753.828301,0.5294613838195801,0.8045036792755127,0.9196645617485046
20251022_163753.838620,0.5340564846992493,0.8099995255470276,0.919571578502655
20251022_163753.848151,0.5386995077133179,0.815394401550293,0.9195200204849243
20251022_163753.858050,0.5424899458885193,0.8210448026657104,0.9195876121520996
20251022_163753.868327,0.5477954149246216,0.8262330293655396,0.919441819190979
20251022_163753.878055,0.5523489117622375,0.8314692378044128,0.9195002317428589
20251022_163753.888030,0.5572589635848999,0.8366795778274536,0.9193746447563171
20251022_163753.898647,0.5620315074920654,0.8417433500289917,0.9193577766418457
20251022_163753.908570,0.5668222904205322,0.8467705249786377,0.9193657040596008
20251022_163753.918564,0.5709090828895569,0.8517820239067078,0.9195298552513123
20251022_163753.928295,0.5763787031173706,0.856570839881897,0.9193657040596008
20251022_163753.938217,0.5810539126396179,0.8617520928382874,0.9196336269378662
20251022_163753.948312,0.585720419883728,0.8662225604057312,0.9194422960281372
20251022_163753.958201,0.5908067226409912,0.8708899021148682,0.9194979071617126
20251022_163753.968364,0.5955464839935303,0.8754160404205322,0.919535219669342
20251022_163753.978097,0.6004859805107117,0.8798856139183044,0.9197195172309875
20251022_163753.987961,0.6050469279289246,0.8844026327133179,0.9197857975959778
20251022_163753.998049,0.609690248966217,0.8888530135154724,0.9199510216712952
20251022_163754.007964,0.6147953867912292,0.893335223197937,0.9199849963188171
20251022_163754.018019,0.6194650530815125,0.8976098895072937,0.9201666116714478
20251022_163754.028120,0.6246247291564941,0.9018359184265137,0.9201793670654297
20251022_163754.038063,0.629188060760498,0.905985951423645,0.9203863739967346
20251022_163754.047969,0.6344479322433472,0.9100029468536377,0.9204251170158386
20251022_163754.058214,0.6392516493797302,0.9140235781669617,0.9205535054206848
20251022_163754.067764,0.6441472768783569,0.9178800582885742,0.9207369685173035
20251022_163754.078153,0.6490312218666077,0.9216627478599548,0.9208952784538269
20251022_163754.088186,0.653935968875885,0.925361692905426,0.9210898280143738
20251022_163754.098192,0.6588473916053772,0.9289805293083191,0.9212590456008911
20251022_163754.108281,0.6637530326843262,0.9326639771461487,0.9213821887969971
20251022_163754.118456,0.6686561703681946,0.936333179473877,0.9215306043624878
20251022_163754.128435,0.6736050844192505,0.9398060441017151,0.9216790795326233
20251022_163754.138377,0.67844158411026,0.9431285262107849,0.9219098091125488
20251022_163754.148192,0.6834138035774231,0.9463703632354736,0.9221343994140625
20251022_163754.158012,0.6883692741394043,0.949695348739624,0.9222830533981323
20251022_163754.168418,0.6932647228240967,0.95307856798172,0.9224546551704407
