time_s,x,y,z
20250912_121458.154922,1.0065817832946777,0.11296430975198746,1.9847173690795898
20250912_121458.155753,1.006577730178833,0.11298827826976776,1.9847326278686523
20250912_121458.156677,1.0065863132476807,0.1129869818687439,1.9847614765167236
20250912_121458.159012,1.0065581798553467,0.11299580335617065,1.9847757816314697
20250912_121458.159914,1.006564736366272,0.11298519372940063,1.9847586154937744
20250912_121458.161467,1.006567358970642,0.11294185370206833,1.9847694635391235
20250912_121458.162409,1.0065586566925049,0.11292708665132523,1.984743595123291
20250912_121458.163292,1.0065672397613525,0.11297816038131714,1.9847527742385864
20250912_121458.164375,1.0065805912017822,0.11300772428512573,1.9847568273544312
20250912_121458.166038,1.006575345993042,0.11299490928649902,1.9847681522369385
20250912_121458.166903,1.0065503120422363,0.11296859383583069,1.9847606420516968
20250912_121458.169823,1.0065555572509766,0.11292938888072968,1.9847363233566284
20250912_121458.183512,1.0065624713897705,0.11291331052780151,1.9847403764724731
20250912_121458.190113,1.0065728425979614,0.1129419133067131,1.984716534614563
20250912_121458.199241,1.0065858364105225,0.11300303786993027,1.9847407341003418
20250912_121458.209653,1.006594181060791,0.11302901059389114,1.984750747680664
20250912_121458.219612,1.0065606832504272,0.11297396570444107,1.9847652912139893
20250912_121458.229388,1.0065675973892212,0.11296065151691437,1.9847519397735596
20250912_121458.239335,1.0065593719482422,0.11294355243444443,1.9847509860992432
20250912_121458.249312,1.0065661668777466,0.11295171827077866,1.9847378730773926
20250912_121458.259378,1.0065972805023193,0.1130293682217598,1.9847232103347778
20250912_121458.270164,1.0066561698913574,0.11305943131446838,1.9847195148468018
20250912_121458.279573,1.0066667795181274,0.1130497083067894,1.9847694635391235
20250912_121458.289770,1.006700873374939,0.11303873360157013,1.984819769859314
20250912_121458.299498,1.0067592859268188,0.1130482405424118,1.984860897064209
20250912_121458.309740,1.0067752599716187,0.11302271485328674,1.984955906867981
20250912_121458.319919,1.0067955255508423,0.11307331174612045,1.985042929649353
20250912_121458.329894,1.0067499876022339,0.11323318630456924,1.9850356578826904
20250912_121458.339554,1.0067672729492188,0.11326593160629272,1.9849445819854736
20250912_121458.349560,1.0068438053131104,0.11320678144693375,1.984878420829773
20250912_121458.359384,1.0069546699523926,0.11320272833108902,1.9848461151123047
20250912_121458.370123,1.0070289373397827,0.11340280622243881,1.9848576784133911
20250912_121458.379427,1.007073163986206,0.11355722695589066,1.9847522974014282
20250912_121458.389527,1.0070933103561401,0.11370746791362762,1.9846179485321045
20250912_121458.399761,1.0071282386779785,0.11394596099853516,1.9844675064086914
20250912_121458.409344,1.0071853399276733,0.11416895687580109,1.9843319654464722
20250912_121458.420488,1.007238745689392,0.11455296725034714,1.9839972257614136
