time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,roll_command,pitch_command,yaw_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_114327.372113,2.0132601261138916,0.09188300371170044,2.954707622528076,-0.013260126113891602,0.9081169962882996,0.04529237747192383,-1.5708318948745728,-178.25033569335938,179.20663452148438,0.3927079737186432,-0.028381045907735825,-0.06718237698078156,56000,-0.054350852966308594,-0.003536876756697893,0.029506683349609375,-0.009945094585418701,-0.0012911743251606822,-0.05594611167907715,27243.509765625,141.67750549316406,-254.4790496826172
20250903_114327.372631,2.013272523880005,0.09191733598709106,2.9547688961029053,-0.013272523880004883,0.9080826640129089,0.04523110389709473,-1.5983120203018188,-178.18307495117188,179.04168701171875,0.3995780050754547,-0.042064119130373,-0.015713104978203773,56000,-0.05427732318639755,-0.0037179235368967056,0.015931129455566406,-0.009954392910003662,-0.0013575059128925204,-0.004401206970214844,27242.48046875,148.9423065185547,-41.19873046875
20250903_114327.373806,2.013228178024292,0.09165681153535843,2.954707145690918,-0.013228178024291992,0.9083431959152222,0.04529285430908203,-1.5521501302719116,-178.4517059326172,178.90274047851562,0.3880375325679779,-0.07430550456047058,0.004397887736558914,56000,-0.05435142666101456,-0.0038989714812487364,-0.01605510711669922,-0.009921133518218994,-0.0014237576397135854,0.015742778778076172,27250.294921875,156.2080078125,312.62933349609375
20250903_114327.375283,2.013216018676758,0.0918678268790245,2.954585075378418,-0.013216018676757812,0.9081321954727173,0.04541492462158203,-1.4893784523010254,-178.95767211914062,178.83157348632812,0.37234461307525635,-0.09031657874584198,-0.007085314020514488,56000,-0.05449790880084038,-0.00408038729801774,-0.03173828125,-0.00991201400756836,-0.0014898681547492743,0.004316568374633789,27243.96484375,163.47390747070312,-253.21841430664062
20250903_114327.376276,2.0132789611816406,0.0919264480471611,2.9545671939849854,-0.013278961181640625,0.9080735445022583,0.04543280601501465,-1.5019720792770386,-178.9257354736328,178.84950256347656,0.37549301981925964,-0.06343061476945877,-0.033859916031360626,56000,-0.05451936647295952,-0.004262082744389772,-0.004649162292480469,-0.009959220886230469,-0.0015561055624857545,-0.022344589233398438,27242.20703125,170.7387237548828,-70.34539794921875
20250903_114327.377737,2.0132827758789062,0.09168493002653122,2.9546732902526855,-0.01328277587890625,0.9083150625228882,0.04532670974731445,-1.5401668548583984,-178.61752319335938,178.82691955566406,0.3850417137145996,-0.03125062212347984,-0.01293880958110094,56000,-0.054392050951719284,-0.004443601705133915,0.02758502960205078,-0.009962081909179688,-0.0016225099097937346,-0.001354217529296875,27249.451171875,178.00428771972656,289.8216247558594
20250903_114327.380019,2.013087034225464,0.0917443335056305,2.9546399116516113,-0.013087034225463867,0.9082556962966919,0.04536008834838867,-1.5193111896514893,-178.2303466796875,178.96519470214844,0.3798277974128723,-0.06773551553487778,0.057984575629234314,56000,-0.05443210527300835,-0.0046249753795564175,-0.008678436279296875,-0.0098152756690979,-0.0016884345095604658,0.0694882869720459,27247.669921875,185.27056884765625,-71.28417205810547
20250903_114327.380834,2.013136863708496,0.0918748527765274,2.95460844039917,-0.013136863708496094,0.9081251621246338,0.04539155960083008,-1.5558669567108154,-178.21177673339844,179.31996154785156,0.38896673917770386,-0.067458875477314,-0.029296107590198517,56000,-0.05446987226605415,-0.0048064785078167915,-0.008182525634765625,-0.00985264778137207,-0.0017539942637085915,-0.01768946647644043,27243.75390625,192.5360870361328,-156.6231231689453
20250903_114327.383322,2.0132577419281006,0.09175919741392136,2.954683542251587,-0.013257741928100586,0.908240795135498,0.045316457748413086,-1.5830931663513184,-178.12503051757812,178.8799285888672,0.3957732915878296,-0.03984116390347481,-0.05467505380511284,56000,-0.05437975004315376,-0.004987894557416439,0.01952648162841797,-0.00994330644607544,-0.0018199807964265347,-0.04291176795959473,27247.224609375,199.8015594482422,138.78643798828125
20250903_114327.384886,2.0131826400756836,0.09173639863729477,2.954577922821045,-0.013182640075683594,0.908263623714447,0.04542207717895508,-1.5313398838043213,-178.7794647216797,178.59388732910156,0.3828349709510803,-0.08713691681623459,0.014888095669448376,56000,-0.054506491869688034,-0.005169371608644724,-0.02746105194091797,-0.009886980056762695,-0.001886081648990512,0.026661157608032227,27247.908203125,207.06756591796875,27.358531951904297
20250903_114327.385700,2.013378381729126,0.09174425899982452,2.954685926437378,-0.013378381729125977,0.9082557559013367,0.04531407356262207,-1.4610086679458618,-178.5455780029297,179.0353240966797,0.36525216698646545,-0.031646791845560074,-0.08147455751895905,56000,-0.054376889020204544,-0.005350844003260136,0.02808094024658203,-0.010033786296844482,-0.0019524842500686646,-0.0694882869720459,27247.671875,214.33364868164062,-9.432435035705566
