time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250905_144123.515543,2.0430097579956055,0.14683671295642853,2.9410576820373535,-0.04300975799560547,0.8531633019447327,0.058942317962646484,1.124189853668213,-176.78407287597656,-179.03057861328125,-0.2810474634170532,-0.320811003446579,-0.5377811193466187,56000,-0.0707307830452919,-0.0014439828228205442,0.0013637542724609375,-0.0322573184967041,-0.0052698757499456406,-0.00025391578674316406,25594.8984375,167.21343994140625,1.6629695892333984
20250905_144123.516512,2.04301381111145,0.14692215621471405,2.9410483837127686,-0.043013811111450195,0.8530778288841248,0.058951616287231445,1.1540098190307617,-176.8740692138672,-178.8420867919922,-0.28850245475769043,-0.324662446975708,-0.5391841530799866,56000,-0.0707419365644455,-0.0015029298374429345,-0.0024175643920898438,-0.032260358333587646,-0.00548493443056941,-0.0014388561248779297,25592.3359375,174.0384063720703,-102.53190612792969
20250905_144123.517429,2.0430474281311035,0.14697086811065674,2.9410462379455566,-0.043047428131103516,0.8530291318893433,0.05895376205444336,1.1223769187927246,-176.6925048828125,-178.6691436767578,-0.28059422969818115,-0.322864294052124,-0.5499197244644165,56000,-0.07074451446533203,-0.0015618824400007725,-0.0005578994750976562,-0.03228557109832764,-0.0057000876404345036,-0.011934041976928711,25590.873046875,180.8628387451172,-58.45427703857422
20250905_144123.518296,2.0430259704589844,0.14697220921516418,2.9410505294799805,-0.043025970458984375,0.8530278205871582,0.05894947052001953,1.1058590412139893,-176.73574829101562,-178.68675231933594,-0.2764647603034973,-0.32124438881874084,-0.5305672883987427,56000,-0.07073936611413956,-0.0016208341112360358,0.0011157989501953125,-0.03226947784423828,-0.005915271118283272,0.007617473602294922,25590.833984375,187.6870574951172,-1.6093254089355469
20250905_144123.519384,2.0430445671081543,0.14685538411140442,2.94106125831604,-0.0430445671081543,0.853144645690918,0.05893874168395996,1.0770399570465088,-176.62615966796875,-178.89532470703125,-0.2692599892616272,-0.31961676478385925,-0.5450156927108765,56000,-0.07072649151086807,-0.0016797782154753804,0.0027894973754882812,-0.03228342533111572,-0.00613044761121273,-0.006601810455322266,25594.337890625,194.51174926757812,140.19012451171875
20250905_144123.527255,2.0429775714874268,0.14682069420814514,2.941063404083252,-0.04297757148742676,0.8531793355941772,0.05893659591674805,1.1289173364639282,-176.7588348388672,-178.95411682128906,-0.28222933411598206,-0.321904718875885,-0.5147952437400818,56000,-0.07072391360998154,-0.0017387159168720245,0.0005578994750976562,-0.03223317861557007,-0.006345502566546202,0.023783445358276367,25595.37890625,201.33705139160156,41.62788391113281
20250905_144123.528656,2.0430057048797607,0.14678117632865906,2.9410765171051025,-0.04300570487976074,0.8532187938690186,0.05892348289489746,1.143294095993042,-176.74716186523438,-179.03016662597656,-0.2858235239982605,-0.3190964460372925,-0.5488020777702332,56000,-0.07070817798376083,-0.001797645934857428,0.0034093856811523438,-0.03225427865982056,-0.0065604611299932,-0.009987354278564453,25596.564453125,208.1626434326172,47.42145538330078
20250905_144123.529918,2.0429959297180176,0.14685453474521637,2.941049098968506,-0.04299592971801758,0.8531454801559448,0.05895090103149414,1.127009630203247,-176.74118041992188,-178.96560668945312,-0.28175240755081177,-0.32972636818885803,-0.5355522036552429,56000,-0.07074107974767685,-0.0018565831705927849,-0.007128715515136719,-0.032246947288513184,-0.006775464862585068,0.003470182418823242,25594.36328125,214.98809814453125,-88.03009796142578
20250905_144123.531824,2.043004035949707,0.14681518077850342,2.9410481452941895,-0.04300403594970703,0.8531848192214966,0.05895185470581055,1.1283776760101318,-176.74176025390625,-179.0003662109375,-0.28209441900253296,-0.3229057192802429,-0.5421212315559387,56000,-0.07074222713708878,-0.0019155344925820827,-0.000247955322265625,-0.03225302696228027,-0.006990464869886637,-0.0028777122497558594,25595.544921875,221.81341552734375,47.224761962890625
20250905_144123.538793,2.0430827140808105,0.14695468544960022,2.9410557746887207,-0.04308271408081055,0.8530453443527222,0.0589442253112793,1.1376680135726929,-176.64791870117188,-178.61404418945312,-0.2844170033931732,-0.32072392106056213,-0.5674484372138977,56000,-0.07073307037353516,-0.0019744825549423695,0.001983642578125,-0.03231203556060791,-0.007205681875348091,-0.027930736541748047,25591.359375,228.63833618164062,-167.40560913085938
20250905_144123.543685,2.043036937713623,0.1469678282737732,2.9410459995269775,-0.04303693771362305,0.8530321717262268,0.05895400047302246,1.1008297204971313,-176.7589874267578,-178.7415771484375,-0.27520743012428284,-0.325319766998291,-0.5234480500221252,56000,-0.07074479758739471,-0.002033431548625231,-0.0025415420532226562,-0.032277703285217285,-0.007420980837196112,0.0162506103515625,25590.96484375,235.462646484375,-15.77138900756836
20250905_144123.545519,2.0430305004119873,0.14686442911624908,2.941068172454834,-0.043030500411987305,0.8531355857849121,0.058931827545166016,1.120635747909546,-176.86880493164062,-178.91893005371094,-0.2801589369773865,-0.3170455992221832,-0.5376237630844116,56000,-0.0707181915640831,-0.002092374488711357,0.005764961242675781,-0.03227287530899048,-0.007636149413883686,0.0022852420806884766,25594.06640625,242.28732299804688,124.07898712158203
